module_category,component_category,year_repair,month_repair,number_repair
M1,P11,2009,4,2
M1,P11,2009,5,1
M1,P11,2009,7,1
M1,P11,2009,8,2
M1,P11,2009,9,1
M1,P11,2009,10,1
M1,P12,2006,4,3
M1,P12,2006,5,5
M1,P12,2006,6,9
M1,P12,2006,7,21
M1,P12,2006,8,25
M1,P12,2006,9,21
M1,P12,2006,10,58
M1,P12,2006,11,69
M1,P12,2006,12,80
M1,P12,2007,1,95
M1,P12,2007,2,97
M1,P12,2007,3,145
M1,P12,2007,4,129
M1,P12,2007,5,119
M1,P12,2007,6,119
M1,P12,2007,7,141
M1,P12,2007,8,109
M1,P12,2007,9,171
M1,P12,2007,10,142
M1,P12,2007,11,111
M1,P12,2007,12,102
M1,P12,2008,1,154
M1,P12,2008,2,145
M1,P12,2008,3,144
M1,P12,2008,4,92
M1,P12,2008,5,83
M1,P12,2008,6,92
M1,P12,2008,7,107
M1,P12,2008,8,97
M1,P12,2008,9,126
M1,P12,2008,10,111
M1,P12,2008,11,69
M1,P12,2008,12,57
M1,P12,2009,1,35
M1,P12,2009,2,20
M1,P12,2009,3,25
M1,P12,2009,4,18
M1,P12,2009,5,6
M1,P12,2009,6,7
M1,P12,2009,7,5
M1,P12,2009,8,8
M1,P12,2009,9,10
M1,P12,2009,10,3
M1,P12,2009,11,2
M1,P12,2009,12,1
M1,P13,2006,4,1
M1,P13,2006,5,1
M1,P13,2006,6,2
M1,P13,2006,7,8
M1,P13,2006,8,4
M1,P13,2006,9,7
M1,P13,2006,10,15
M1,P13,2006,11,14
M1,P13,2006,12,23
M1,P13,2007,1,14
M1,P13,2007,2,13
M1,P13,2007,3,14
M1,P13,2007,4,27
M1,P13,2007,5,15
M1,P13,2007,6,12
M1,P13,2007,7,20
M1,P13,2007,8,12
M1,P13,2007,9,17
M1,P13,2007,10,18
M1,P13,2007,11,20
M1,P13,2007,12,20
M1,P13,2008,1,11
M1,P13,2008,2,12
M1,P13,2008,3,21
M1,P13,2008,4,15
M1,P13,2008,5,7
M1,P13,2008,6,14
M1,P13,2008,7,4
M1,P13,2008,8,11
M1,P13,2008,9,17
M1,P13,2008,10,15
M1,P13,2008,11,10
M1,P13,2008,12,6
M1,P13,2009,1,7
M1,P13,2009,2,4
M1,P13,2009,3,2
M1,P13,2009,4,1
M1,P13,2009,5,1
M1,P13,2009,6,1
M1,P13,2009,7,1
M1,P13,2009,9,2
M1,P15,2006,4,1
M1,P15,2006,5,10
M1,P15,2006,6,4
M1,P15,2006,7,12
M1,P15,2006,8,20
M1,P15,2006,9,23
M1,P15,2006,10,32
M1,P15,2006,11,41
M1,P15,2006,12,41
M1,P15,2007,1,29
M1,P15,2007,2,41
M1,P15,2007,3,32
M1,P15,2007,4,43
M1,P15,2007,5,34
M1,P15,2007,6,45
M1,P15,2007,7,44
M1,P15,2007,8,41
M1,P15,2007,9,49
M1,P15,2007,10,32
M1,P15,2007,11,33
M1,P15,2007,12,41
M1,P15,2008,1,29
M1,P15,2008,2,46
M1,P15,2008,3,37
M1,P15,2008,4,27
M1,P15,2008,5,30
M1,P15,2008,6,38
M1,P15,2008,7,24
M1,P15,2008,8,24
M1,P15,2008,9,28
M1,P15,2008,10,24
M1,P15,2008,11,14
M1,P15,2008,12,16
M1,P15,2009,1,7
M1,P15,2009,2,6
M1,P15,2009,3,3
M1,P15,2009,5,8
M1,P15,2009,6,4
M1,P15,2009,7,2
M1,P15,2009,8,1
M1,P15,2009,9,3
M1,P15,2009,10,1
M1,P15,2009,11,3
M1,P16,2006,4,2
M1,P16,2006,5,3
M1,P16,2006,6,7
M1,P16,2006,7,13
M1,P16,2006,8,17
M1,P16,2006,9,21
M1,P16,2006,10,39
M1,P16,2006,11,24
M1,P16,2006,12,37
M1,P16,2007,1,46
M1,P16,2007,2,56
M1,P16,2007,3,56
M1,P16,2007,4,74
M1,P16,2007,5,38
M1,P16,2007,6,49
M1,P16,2007,7,44
M1,P16,2007,8,66
M1,P16,2007,9,54
M1,P16,2007,10,60
M1,P16,2007,11,80
M1,P16,2007,12,41
M1,P16,2008,1,62
M1,P16,2008,2,55
M1,P16,2008,3,75
M1,P16,2008,4,48
M1,P16,2008,5,33
M1,P16,2008,6,62
M1,P16,2008,7,57
M1,P16,2008,8,51
M1,P16,2008,9,48
M1,P16,2008,10,45
M1,P16,2008,11,29
M1,P16,2008,12,21
M1,P16,2009,1,25
M1,P16,2009,2,12
M1,P16,2009,3,16
M1,P16,2009,4,9
M1,P16,2009,5,10
M1,P16,2009,6,7
M1,P16,2009,7,2
M1,P16,2009,8,12
M1,P16,2009,9,7
M1,P16,2009,10,3
M1,P16,2009,11,4
M1,P16,2009,12,5
M1,P17,2006,6,1
M1,P17,2006,7,2
M1,P17,2006,8,1
M1,P17,2006,9,3
M1,P17,2006,10,5
M1,P17,2006,11,7
M1,P17,2006,12,10
M1,P17,2007,1,10
M1,P17,2007,2,6
M1,P17,2007,3,14
M1,P17,2007,4,12
M1,P17,2007,5,14
M1,P17,2007,6,11
M1,P17,2007,7,15
M1,P17,2007,8,13
M1,P17,2007,9,12
M1,P17,2007,10,7
M1,P17,2007,11,7
M1,P17,2007,12,7
M1,P17,2008,1,5
M1,P17,2008,2,6
M1,P17,2008,3,14
M1,P17,2008,4,12
M1,P17,2008,5,12
M1,P17,2008,6,7
M1,P17,2008,7,5
M1,P17,2008,8,6
M1,P17,2008,9,1
M1,P17,2008,10,2
M1,P17,2008,11,3
M1,P17,2008,12,2
M1,P17,2009,1,4
M1,P17,2009,2,5
M1,P17,2009,4,4
M1,P17,2009,5,1
M1,P17,2009,9,4
M1,P17,2009,11,2
M1,P19,2006,6,1
M1,P19,2006,7,1
M1,P19,2006,8,2
M1,P19,2006,9,1
M1,P19,2006,10,8
M1,P19,2006,11,4
M1,P19,2006,12,8
M1,P19,2007,1,5
M1,P19,2007,2,7
M1,P19,2007,3,4
M1,P19,2007,4,3
M1,P19,2007,5,6
M1,P19,2007,6,3
M1,P19,2007,7,6
M1,P19,2007,8,3
M1,P19,2007,9,5
M1,P19,2007,10,5
M1,P19,2007,11,4
M1,P19,2007,12,2
M1,P19,2008,1,4
M1,P19,2008,2,2
M1,P19,2008,3,8
M1,P19,2008,4,3
M1,P19,2008,5,3
M1,P19,2008,6,2
M1,P19,2008,8,4
M1,P19,2008,9,5
M1,P19,2008,10,2
M1,P19,2008,11,1
M1,P19,2008,12,1
M1,P19,2009,2,2
M1,P19,2009,9,1
M1,P20,2006,4,5
M1,P20,2006,5,14
M1,P20,2006,6,31
M1,P20,2006,7,55
M1,P20,2006,8,57
M1,P20,2006,9,89
M1,P20,2006,10,134
M1,P20,2006,11,148
M1,P20,2006,12,189
M1,P20,2007,1,210
M1,P20,2007,2,179
M1,P20,2007,3,221
M1,P20,2007,4,210
M1,P20,2007,5,188
M1,P20,2007,6,201
M1,P20,2007,7,214
M1,P20,2007,8,174
M1,P20,2007,9,216
M1,P20,2007,10,180
M1,P20,2007,11,225
M1,P20,2007,12,170
M1,P20,2008,1,171
M1,P20,2008,2,158
M1,P20,2008,3,171
M1,P20,2008,4,151
M1,P20,2008,5,120
M1,P20,2008,6,123
M1,P20,2008,7,114
M1,P20,2008,8,92
M1,P20,2008,9,104
M1,P20,2008,10,77
M1,P20,2008,11,63
M1,P20,2008,12,38
M1,P20,2009,1,33
M1,P20,2009,2,24
M1,P20,2009,3,12
M1,P20,2009,4,11
M1,P20,2009,5,8
M1,P20,2009,6,2
M1,P20,2009,7,3
M1,P20,2009,9,2
M1,P20,2009,10,2
M1,P20,2009,11,1
M1,P21,2006,4,1
M1,P21,2006,6,3
M1,P21,2006,7,12
M1,P21,2006,8,13
M1,P21,2006,9,30
M1,P21,2006,10,47
M1,P21,2006,11,48
M1,P21,2006,12,50
M1,P21,2007,1,49
M1,P21,2007,2,32
M1,P21,2007,3,41
M1,P21,2007,4,33
M1,P21,2007,5,36
M1,P21,2007,6,26
M1,P21,2007,7,28
M1,P21,2007,8,23
M1,P21,2007,9,24
M1,P21,2007,10,25
M1,P21,2007,11,37
M1,P21,2007,12,21
M1,P21,2008,1,16
M1,P21,2008,2,19
M1,P21,2008,3,11
M1,P21,2008,4,14
M1,P21,2008,5,11
M1,P21,2008,6,11
M1,P21,2008,7,7
M1,P21,2008,8,15
M1,P21,2008,9,14
M1,P21,2008,10,10
M1,P21,2008,11,8
M1,P21,2008,12,12
M1,P21,2009,1,12
M1,P21,2009,2,3
M1,P21,2009,3,5
M1,P21,2009,4,5
M1,P21,2009,5,1
M1,P21,2009,6,4
M1,P21,2009,7,2
M1,P21,2009,8,3
M1,P21,2009,9,1
M1,P21,2009,10,1
M1,P22,2006,7,2
M1,P22,2006,8,1
M1,P22,2006,10,1
M1,P22,2006,12,5
M1,P22,2007,1,5
M1,P22,2007,3,1
M1,P22,2007,4,1
M1,P22,2007,5,1
M1,P22,2007,7,2
M1,P22,2007,8,1
M1,P22,2007,9,4
M1,P22,2007,10,3
M1,P22,2007,11,1
M1,P22,2007,12,8
M1,P22,2008,2,2
M1,P22,2008,3,3
M1,P22,2008,5,3
M1,P22,2008,6,3
M1,P22,2008,7,3
M1,P22,2008,8,1
M1,P22,2008,9,2
M1,P22,2008,10,4
M1,P22,2008,11,1
M1,P22,2008,12,1
M1,P22,2009,1,1
M1,P22,2009,3,1
M1,P22,2009,4,2
M1,P24,2006,4,1
M1,P24,2006,5,3
M1,P24,2006,6,8
M1,P24,2006,7,17
M1,P24,2006,8,24
M1,P24,2006,9,34
M1,P24,2006,10,51
M1,P24,2006,11,48
M1,P24,2006,12,50
M1,P24,2007,1,75
M1,P24,2007,2,79
M1,P24,2007,3,60
M1,P24,2007,4,57
M1,P24,2007,5,57
M1,P24,2007,6,70
M1,P24,2007,7,66
M1,P24,2007,8,52
M1,P24,2007,9,79
M1,P24,2007,10,67
M1,P24,2007,11,62
M1,P24,2007,12,54
M1,P24,2008,1,67
M1,P24,2008,2,49
M1,P24,2008,3,69
M1,P24,2008,4,66
M1,P24,2008,5,49
M1,P24,2008,6,55
M1,P24,2008,7,69
M1,P24,2008,8,49
M1,P24,2008,9,47
M1,P24,2008,10,30
M1,P24,2008,11,45
M1,P24,2008,12,23
M1,P24,2009,1,13
M1,P24,2009,2,7
M1,P24,2009,3,4
M1,P24,2009,4,4
M1,P24,2009,5,5
M1,P24,2009,6,3
M1,P24,2009,8,1
M1,P24,2009,10,1
M1,P25,2007,9,1
M1,P26,2006,5,2
M1,P26,2006,6,7
M1,P26,2006,7,5
M1,P26,2006,8,12
M1,P26,2006,9,14
M1,P26,2006,10,16
M1,P26,2006,11,16
M1,P26,2006,12,18
M1,P26,2007,1,20
M1,P26,2007,2,12
M1,P26,2007,3,18
M1,P26,2007,4,16
M1,P26,2007,5,14
M1,P26,2007,6,8
M1,P26,2007,7,10
M1,P26,2007,8,9
M1,P26,2007,9,9
M1,P26,2007,10,7
M1,P26,2007,11,8
M1,P26,2007,12,7
M1,P26,2008,1,6
M1,P26,2008,2,9
M1,P26,2008,3,12
M1,P26,2008,4,7
M1,P26,2008,5,3
M1,P26,2008,6,8
M1,P26,2008,7,1
M1,P26,2008,8,4
M1,P26,2008,9,12
M1,P26,2008,10,9
M1,P26,2008,11,2
M1,P26,2008,12,2
M1,P26,2009,1,3
M1,P26,2009,3,1
M1,P26,2009,7,1
M1,P26,2009,8,1
M1,P26,2009,9,1
M1,P27,2007,9,2
M1,P28,2006,5,6
M1,P28,2006,6,15
M1,P28,2006,7,29
M1,P28,2006,8,25
M1,P28,2006,9,30
M1,P28,2006,10,42
M1,P28,2006,11,50
M1,P28,2006,12,55
M1,P28,2007,1,45
M1,P28,2007,2,59
M1,P28,2007,3,62
M1,P28,2007,4,56
M1,P28,2007,5,47
M1,P28,2007,6,65
M1,P28,2007,7,66
M1,P28,2007,8,51
M1,P28,2007,9,79
M1,P28,2007,10,66
M1,P28,2007,11,69
M1,P28,2007,12,63
M1,P28,2008,1,90
M1,P28,2008,2,120
M1,P28,2008,3,104
M1,P28,2008,4,87
M1,P28,2008,5,83
M1,P28,2008,6,119
M1,P28,2008,7,123
M1,P28,2008,8,114
M1,P28,2008,9,142
M1,P28,2008,10,109
M1,P28,2008,11,87
M1,P28,2008,12,62
M1,P28,2009,1,49
M1,P28,2009,2,31
M1,P28,2009,3,19
M1,P28,2009,4,10
M1,P28,2009,5,4
M1,P28,2009,6,6
M1,P28,2009,7,9
M1,P28,2009,8,9
M1,P28,2009,9,4
M1,P28,2009,10,1
M1,P28,2009,11,1
M1,P30,2006,4,2
M1,P30,2006,5,2
M1,P30,2006,6,3
M1,P30,2006,7,15
M1,P30,2006,8,11
M1,P30,2006,9,55
M1,P30,2006,10,99
M1,P30,2006,11,121
M1,P30,2006,12,121
M1,P30,2007,1,129
M1,P30,2007,2,140
M1,P30,2007,3,108
M1,P30,2007,4,97
M1,P30,2007,5,101
M1,P30,2007,6,109
M1,P30,2007,7,101
M1,P30,2007,8,104
M1,P30,2007,9,154
M1,P30,2007,10,112
M1,P30,2007,11,80
M1,P30,2007,12,59
M1,P30,2008,1,60
M1,P30,2008,2,82
M1,P30,2008,3,75
M1,P30,2008,4,57
M1,P30,2008,5,39
M1,P30,2008,6,64
M1,P30,2008,7,57
M1,P30,2008,8,33
M1,P30,2008,9,30
M1,P30,2008,10,26
M1,P30,2008,11,10
M1,P30,2008,12,17
M1,P30,2009,1,4
M1,P30,2009,2,4
M1,P30,2009,3,5
M1,P30,2009,9,1
M1,P30,2009,10,2
M1,P31,2006,6,1
M1,P31,2006,7,2
M1,P31,2006,8,5
M1,P31,2006,9,2
M1,P31,2006,10,2
M1,P31,2006,11,2
M1,P31,2006,12,8
M1,P31,2007,1,8
M1,P31,2007,2,7
M1,P31,2007,3,8
M1,P31,2007,4,8
M1,P31,2007,5,8
M1,P31,2007,6,9
M1,P31,2007,7,11
M1,P31,2007,8,7
M1,P31,2007,9,5
M1,P31,2007,10,8
M1,P31,2007,11,6
M1,P31,2007,12,5
M1,P31,2008,1,9
M1,P31,2008,2,10
M1,P31,2008,3,6
M1,P31,2008,4,8
M1,P31,2008,5,4
M1,P31,2008,6,6
M1,P31,2008,7,5
M1,P31,2008,8,6
M1,P31,2008,9,3
M1,P31,2008,10,2
M1,P31,2008,12,1
M1,P31,2009,1,2
M1,P31,2009,2,2
M1,P31,2009,4,1
M1,P31,2009,9,1
M2,P01,2007,8,3
M2,P01,2007,12,1
M2,P01,2008,4,2
M2,P01,2009,3,3
M2,P01,2009,6,2
M2,P01,2009,11,1
M2,P02,2007,4,2
M2,P02,2007,5,8
M2,P02,2007,6,15
M2,P02,2007,7,16
M2,P02,2007,8,16
M2,P02,2007,9,9
M2,P02,2007,10,11
M2,P02,2007,11,15
M2,P02,2007,12,18
M2,P02,2008,1,34
M2,P02,2008,2,15
M2,P02,2008,3,22
M2,P02,2008,4,13
M2,P02,2008,5,14
M2,P02,2008,6,15
M2,P02,2008,7,9
M2,P02,2008,8,9
M2,P02,2008,9,11
M2,P02,2008,10,14
M2,P02,2008,11,10
M2,P02,2008,12,5
M2,P02,2009,1,7
M2,P02,2009,2,3
M2,P02,2009,3,8
M2,P02,2009,4,9
M2,P02,2009,5,4
M2,P02,2009,6,5
M2,P02,2009,7,6
M2,P02,2009,8,2
M2,P02,2009,9,1
M2,P02,2009,10,4
M2,P02,2009,11,2
M2,P02,2009,12,2
M2,P04,2007,4,3
M2,P04,2007,5,4
M2,P04,2007,6,7
M2,P04,2007,7,7
M2,P04,2007,8,5
M2,P04,2007,9,7
M2,P04,2007,10,6
M2,P04,2007,11,7
M2,P04,2007,12,11
M2,P04,2008,1,14
M2,P04,2008,2,6
M2,P04,2008,3,11
M2,P04,2008,4,6
M2,P04,2008,5,4
M2,P04,2008,6,6
M2,P04,2008,7,4
M2,P04,2008,8,5
M2,P04,2008,9,3
M2,P04,2008,10,4
M2,P04,2008,11,2
M2,P04,2008,12,6
M2,P04,2009,1,2
M2,P04,2009,2,2
M2,P04,2009,3,1
M2,P04,2009,4,2
M2,P04,2009,5,1
M2,P04,2009,6,2
M2,P04,2009,7,1
M2,P04,2009,8,4
M2,P04,2009,10,2
M2,P04,2009,11,2
M2,P04,2009,12,3
M2,P05,2007,3,1
M2,P05,2007,4,11
M2,P05,2007,5,11
M2,P05,2007,6,22
M2,P05,2007,7,23
M2,P05,2007,8,39
M2,P05,2007,9,52
M2,P05,2007,10,64
M2,P05,2007,11,47
M2,P05,2007,12,33
M2,P05,2008,1,26
M2,P05,2008,2,25
M2,P05,2008,3,65
M2,P05,2008,4,38
M2,P05,2008,5,53
M2,P05,2008,6,50
M2,P05,2008,7,71
M2,P05,2008,8,87
M2,P05,2008,9,74
M2,P05,2008,10,61
M2,P05,2008,11,40
M2,P05,2008,12,48
M2,P05,2009,1,30
M2,P05,2009,2,27
M2,P05,2009,3,67
M2,P05,2009,4,54
M2,P05,2009,5,41
M2,P05,2009,6,45
M2,P05,2009,7,60
M2,P05,2009,8,43
M2,P05,2009,9,32
M2,P05,2009,10,18
M2,P05,2009,11,23
M2,P05,2009,12,12
M2,P06,2007,3,1
M2,P06,2007,4,61
M2,P06,2007,5,72
M2,P06,2007,6,78
M2,P06,2007,7,294
M2,P06,2007,8,372
M2,P06,2007,9,366
M2,P06,2007,10,407
M2,P06,2007,11,457
M2,P06,2007,12,438
M2,P06,2008,1,545
M2,P06,2008,2,431
M2,P06,2008,3,804
M2,P06,2008,4,572
M2,P06,2008,5,781
M2,P06,2008,6,776
M2,P06,2008,7,1099
M2,P06,2008,8,1424
M2,P06,2008,9,1307
M2,P06,2008,10,831
M2,P06,2008,11,722
M2,P06,2008,12,713
M2,P06,2009,1,705
M2,P06,2009,2,606
M2,P06,2009,3,1029
M2,P06,2009,4,998
M2,P06,2009,5,691
M2,P06,2009,6,527
M2,P06,2009,7,614
M2,P06,2009,8,581
M2,P06,2009,9,809
M2,P06,2009,10,399
M2,P06,2009,11,325
M2,P06,2009,12,221
M2,P07,2008,5,1
M2,P08,2008,4,1
M2,P09,2007,4,5
M2,P09,2007,5,8
M2,P09,2007,6,12
M2,P09,2007,7,14
M2,P09,2007,8,18
M2,P09,2007,9,21
M2,P09,2007,10,25
M2,P09,2007,11,18
M2,P09,2007,12,40
M2,P09,2008,1,40
M2,P09,2008,2,35
M2,P09,2008,3,81
M2,P09,2008,4,74
M2,P09,2008,5,112
M2,P09,2008,6,158
M2,P09,2008,7,169
M2,P09,2008,8,146
M2,P09,2008,9,158
M2,P09,2008,10,105
M2,P09,2008,11,162
M2,P09,2008,12,184
M2,P09,2009,1,171
M2,P09,2009,2,138
M2,P09,2009,3,281
M2,P09,2009,4,307
M2,P09,2009,5,264
M2,P09,2009,6,264
M2,P09,2009,7,265
M2,P09,2009,8,214
M2,P09,2009,9,146
M2,P09,2009,10,78
M2,P09,2009,11,76
M2,P09,2009,12,53
M2,P10,2007,7,1
M2,P10,2007,10,3
M2,P10,2007,11,1
M2,P11,2007,4,3
M2,P11,2007,5,3
M2,P11,2007,6,3
M2,P11,2007,7,4
M2,P11,2007,8,12
M2,P11,2007,9,1
M2,P11,2007,10,6
M2,P11,2007,11,6
M2,P11,2007,12,7
M2,P11,2008,1,10
M2,P11,2008,2,9
M2,P11,2008,3,9
M2,P11,2008,4,12
M2,P11,2008,5,14
M2,P11,2008,6,12
M2,P11,2008,7,11
M2,P11,2008,8,8
M2,P11,2008,9,15
M2,P11,2008,10,9
M2,P11,2008,11,9
M2,P11,2008,12,6
M2,P11,2009,1,5
M2,P11,2009,2,4
M2,P11,2009,3,8
M2,P11,2009,4,4
M2,P11,2009,5,3
M2,P11,2009,6,10
M2,P11,2009,7,4
M2,P11,2009,8,5
M2,P11,2009,9,7
M2,P11,2009,12,1
M2,P12,2007,3,6
M2,P12,2007,4,34
M2,P12,2007,5,53
M2,P12,2007,6,87
M2,P12,2007,7,154
M2,P12,2007,8,143
M2,P12,2007,9,144
M2,P12,2007,10,152
M2,P12,2007,11,149
M2,P12,2007,12,170
M2,P12,2008,1,147
M2,P12,2008,2,108
M2,P12,2008,3,203
M2,P12,2008,4,124
M2,P12,2008,5,109
M2,P12,2008,6,99
M2,P12,2008,7,103
M2,P12,2008,8,95
M2,P12,2008,9,102
M2,P12,2008,10,142
M2,P12,2008,11,187
M2,P12,2008,12,174
M2,P12,2009,1,175
M2,P12,2009,2,145
M2,P12,2009,3,52
M2,P12,2009,4,30
M2,P12,2009,5,23
M2,P12,2009,6,12
M2,P12,2009,7,6
M2,P12,2009,8,18
M2,P12,2009,9,9
M2,P12,2009,10,5
M2,P12,2009,11,6
M2,P12,2009,12,9
M2,P13,2007,4,5
M2,P13,2007,5,4
M2,P13,2007,6,9
M2,P13,2007,7,9
M2,P13,2007,8,7
M2,P13,2007,9,9
M2,P13,2007,10,10
M2,P13,2007,11,13
M2,P13,2007,12,12
M2,P13,2008,1,14
M2,P13,2008,2,10
M2,P13,2008,3,19
M2,P13,2008,4,9
M2,P13,2008,5,15
M2,P13,2008,6,11
M2,P13,2008,7,11
M2,P13,2008,8,18
M2,P13,2008,9,12
M2,P13,2008,10,15
M2,P13,2008,11,9
M2,P13,2008,12,12
M2,P13,2009,1,16
M2,P13,2009,2,8
M2,P13,2009,3,16
M2,P13,2009,4,21
M2,P13,2009,5,16
M2,P13,2009,6,17
M2,P13,2009,7,11
M2,P13,2009,8,14
M2,P13,2009,9,6
M2,P13,2009,10,5
M2,P13,2009,11,3
M2,P13,2009,12,5
M2,P14,2009,8,1
M2,P15,2007,3,2
M2,P15,2007,4,15
M2,P15,2007,5,25
M2,P15,2007,6,54
M2,P15,2007,7,90
M2,P15,2007,8,139
M2,P15,2007,9,112
M2,P15,2007,10,108
M2,P15,2007,11,116
M2,P15,2007,12,119
M2,P15,2008,1,127
M2,P15,2008,2,98
M2,P15,2008,3,191
