module_category,component_category,year,month
M1,P13,2010,4
M1,P13,2010,5
M1,P13,2010,6
M1,P13,2010,7
M1,P13,2010,8
M1,P13,2010,9
M1,P13,2010,10
M1,P13,2010,11
M1,P13,2010,12
M1,P13,2011,1
M1,P13,2011,2
M1,P13,2011,3
M1,P13,2011,4
M1,P13,2011,5
M1,P13,2011,6
M1,P13,2011,7
M1,P15,2010,1
M1,P15,2010,2
M1,P15,2010,3
M1,P15,2010,4
M1,P15,2010,5
M1,P15,2010,6
M1,P15,2010,7
M1,P15,2010,8
M1,P15,2010,9
M1,P15,2010,10
M1,P15,2010,11
M1,P15,2010,12
M1,P15,2011,1
M1,P15,2011,2
M1,P15,2011,3
M1,P15,2011,4
M1,P15,2011,5
M1,P15,2011,6
M1,P15,2011,7
M1,P16,2010,1
M1,P16,2010,2
M1,P16,2010,3
M1,P16,2010,4
M1,P16,2010,5
M1,P16,2010,6
M1,P16,2010,7
M1,P16,2010,8
M1,P16,2010,9
M1,P16,2010,10
M1,P16,2010,11
M1,P16,2010,12
M1,P16,2011,1
M1,P16,2011,2
M1,P16,2011,3
M1,P16,2011,4
M1,P16,2011,5
M1,P16,2011,6
M1,P16,2011,7
M1,P17,2010,1
M1,P17,2010,2
M1,P17,2010,3
M1,P17,2010,4
M1,P17,2010,5
M1,P17,2010,6
M1,P17,2010,7
M1,P17,2010,8
M1,P17,2010,9
M1,P17,2010,10
M1,P17,2010,11
M1,P17,2010,12
M1,P17,2011,1
M1,P17,2011,2
M1,P17,2011,3
M1,P17,2011,4
M1,P17,2011,5
M1,P17,2011,6
M1,P17,2011,7
M1,P19,2010,1
M1,P19,2010,2
M1,P19,2010,3
M1,P19,2010,4
M1,P19,2010,5
M1,P19,2010,6
M1,P19,2010,7
M1,P19,2010,8
M1,P19,2010,9
M1,P19,2010,10
M1,P19,2010,11
M1,P19,2010,12
M1,P19,2011,1
M1,P19,2011,2
M1,P19,2011,3
M1,P19,2011,4
M1,P19,2011,5
M1,P19,2011,6
M1,P19,2011,7
M1,P20,2010,1
M1,P20,2010,2
M1,P20,2010,3
M1,P20,2010,4
M1,P20,2010,5
M1,P20,2010,6
M1,P20,2010,7
M1,P20,2010,8
M1,P20,2010,9
M1,P20,2010,10
M1,P20,2010,11
M1,P20,2010,12
M1,P20,2011,1
M1,P20,2011,2
M1,P20,2011,3
M1,P20,2011,4
M1,P20,2011,5
M1,P20,2011,6
M1,P20,2011,7
M1,P21,2010,1
M1,P21,2010,2
M1,P21,2010,3
M1,P21,2010,4
M1,P21,2010,5
M1,P21,2010,6
M1,P21,2010,7
M1,P21,2010,8
M1,P21,2010,9
M1,P21,2010,10
M1,P21,2010,11
M1,P21,2010,12
M1,P21,2011,1
M1,P21,2011,2
M1,P21,2011,3
M1,P21,2011,4
M1,P21,2011,5
M1,P21,2011,6
M1,P21,2011,7
M1,P22,2010,1
M1,P22,2010,2
M1,P22,2010,3
M1,P22,2010,4
M1,P22,2010,5
M1,P22,2010,6
M1,P22,2010,7
M1,P22,2010,8
M1,P22,2010,9
M1,P22,2010,10
M1,P22,2010,11
M1,P22,2010,12
M1,P22,2011,1
M1,P22,2011,2
M1,P22,2011,3
M1,P22,2011,4
M1,P22,2011,5
M1,P22,2011,6
M1,P22,2011,7
M1,P24,2010,1
M1,P24,2010,2
M1,P24,2010,3
M1,P24,2010,4
M1,P24,2010,5
M1,P24,2010,6
M1,P24,2010,7
M1,P24,2010,8
M1,P24,2010,9
M1,P24,2010,10
M1,P24,2010,11
M1,P24,2010,12
M1,P24,2011,1
M1,P24,2011,2
M1,P24,2011,3
M1,P24,2011,4
M1,P24,2011,5
M1,P24,2011,6
M1,P24,2011,7
M1,P25,2010,1
M1,P25,2010,2
M1,P25,2010,3
M1,P25,2010,4
M1,P25,2010,5
M1,P25,2010,6
M1,P25,2010,7
M1,P25,2010,8
M1,P25,2010,9
M1,P25,2010,10
M1,P25,2010,11
M1,P25,2010,12
M1,P25,2011,1
M1,P25,2011,2
M1,P25,2011,3
M1,P25,2011,4
M1,P25,2011,5
M1,P25,2011,6
M1,P25,2011,7
M1,P26,2010,1
M1,P26,2010,2
M1,P26,2010,3
M1,P26,2010,4
M1,P26,2010,5
M1,P26,2010,6
M1,P26,2010,7
M1,P26,2010,8
M1,P26,2010,9
M1,P26,2010,10
M1,P26,2010,11
M1,P26,2010,12
M1,P26,2011,1
M1,P26,2011,2
M1,P26,2011,3
M1,P26,2011,4
M1,P26,2011,5
M1,P26,2011,6
M1,P26,2011,7
M1,P27,2010,1
M1,P27,2010,2
M1,P27,2010,3
M1,P27,2010,4
M1,P27,2010,5
M1,P27,2010,6
M1,P27,2010,7
M1,P27,2010,8
M1,P27,2010,9
M1,P27,2010,10
M1,P27,2010,11
M1,P27,2010,12
M1,P27,2011,1
M1,P27,2011,2
M1,P27,2011,3
M1,P27,2011,4
M1,P27,2011,5
M1,P27,2011,6
M1,P27,2011,7
M1,P28,2010,1
M1,P28,2010,2
M1,P28,2010,3
M1,P28,2010,4
M1,P28,2010,5
M1,P28,2010,6
M1,P28,2010,7
M1,P28,2010,8
M1,P28,2010,9
M1,P28,2010,10
M1,P28,2010,11
M1,P28,2010,12
M1,P28,2011,1
M1,P28,2011,2
M1,P28,2011,3
M1,P28,2011,4
M1,P28,2011,5
M1,P28,2011,6
M1,P28,2011,7
M1,P30,2010,1
M1,P30,2010,2
M1,P30,2010,3
M1,P30,2010,4
M1,P30,2010,5
M1,P30,2010,6
M1,P30,2010,7
M1,P30,2010,8
M1,P30,2010,9
M1,P30,2010,10
M1,P30,2010,11
M1,P30,2010,12
M1,P30,2011,1
M1,P30,2011,2
M1,P30,2011,3
M1,P30,2011,4
M1,P30,2011,5
M1,P30,2011,6
M1,P30,2011,7
M1,P31,2010,1
M1,P31,2010,2
M1,P31,2010,3
M1,P31,2010,4
M1,P31,2010,5
M1,P31,2010,6
M1,P31,2010,7
M1,P31,2010,8
M1,P31,2010,9
M1,P31,2010,10
M1,P31,2010,11
M1,P31,2010,12
M1,P31,2011,1
M1,P31,2011,2
M1,P31,2011,3
M1,P31,2011,4
M1,P31,2011,5
M1,P31,2011,6
M1,P31,2011,7
M2,P01,2010,1
M2,P01,2010,2
M2,P01,2010,3
M2,P01,2010,4
M2,P01,2010,5
M2,P01,2010,6
M2,P01,2010,7
M2,P01,2010,8
M2,P01,2010,9
M2,P01,2010,10
M2,P01,2010,11
M2,P01,2010,12
M2,P01,2011,1
M2,P01,2011,2
M2,P01,2011,3
M2,P01,2011,4
M2,P01,2011,5
M2,P01,2011,6
M2,P01,2011,7
M2,P02,2010,1
M2,P02,2010,2
M2,P02,2010,3
M2,P02,2010,4
M2,P02,2010,5
M2,P02,2010,6
M2,P02,2010,7
M2,P02,2010,8
M2,P02,2010,9
M2,P02,2010,10
M2,P02,2010,11
M2,P02,2010,12
M2,P02,2011,1
M2,P02,2011,2
M2,P02,2011,3
M2,P02,2011,4
M2,P02,2011,5
M2,P02,2011,6
M2,P02,2011,7
M2,P04,2010,1
M2,P04,2010,2
M2,P04,2010,3
M2,P04,2010,4
M2,P04,2010,5
M2,P04,2010,6
M2,P04,2010,7
M2,P04,2010,8
M2,P04,2010,9
M2,P04,2010,10
M2,P04,2010,11
M2,P04,2010,12
M2,P04,2011,1
M2,P04,2011,2
M2,P04,2011,3
M2,P04,2011,4
M2,P04,2011,5
M2,P04,2011,6
M2,P04,2011,7
M2,P05,2010,1
M2,P05,2010,2
M2,P05,2010,3
M2,P05,2010,4
M2,P05,2010,5
M2,P05,2010,6
M2,P05,2010,7
M2,P05,2010,8
M2,P05,2010,9
M2,P05,2010,10
M2,P05,2010,11
M2,P05,2010,12
M2,P05,2011,1
M2,P05,2011,2
M2,P05,2011,3
M2,P05,2011,4
M2,P05,2011,5
M2,P05,2011,6
M2,P05,2011,7
M2,P06,2010,1
M2,P06,2010,2
M2,P06,2010,3
M2,P06,2010,4
M2,P06,2010,5
M2,P06,2010,6
M2,P06,2010,7
M2,P06,2010,8
M2,P06,2010,9
M2,P06,2010,10
M2,P06,2010,11
M2,P06,2010,12
M2,P06,2011,1
M2,P06,2011,2
M2,P06,2011,3
M2,P06,2011,4
M2,P06,2011,5
M2,P06,2011,6
M2,P06,2011,7
M2,P07,2010,1
M2,P07,2010,2
M2,P07,2010,3
M2,P07,2010,4
M2,P07,2010,5
M2,P07,2010,6
M2,P07,2010,7
M2,P07,2010,8
M2,P07,2010,9
M2,P07,2010,10
M2,P07,2010,11
M2,P07,2010,12
M2,P07,2011,1
M2,P07,2011,2
M2,P07,2011,3
M2,P07,2011,4
M2,P07,2011,5
M2,P07,2011,6
M2,P07,2011,7
M2,P08,2010,1
M2,P08,2010,2
M2,P08,2010,3
M2,P08,2010,4
M2,P08,2010,5
M2,P08,2010,6
M2,P08,2010,7
M2,P08,2010,8
M2,P08,2010,9
M2,P08,2010,10
M2,P08,2010,11
M2,P08,2010,12
M2,P08,2011,1
M2,P08,2011,2
M2,P08,2011,3
M2,P08,2011,4
M2,P08,2011,5
M2,P08,2011,6
M2,P08,2011,7
M2,P09,2010,1
M2,P09,2010,2
M2,P09,2010,3
M2,P09,2010,4
M2,P09,2010,5
M2,P09,2010,6
M2,P09,2010,7
M2,P09,2010,8
M2,P09,2010,9
M2,P09,2010,10
M2,P09,2010,11
M2,P09,2010,12
M2,P09,2011,1
M2,P09,2011,2
M2,P09,2011,3
M2,P09,2011,4
M2,P09,2011,5
M2,P09,2011,6
M2,P09,2011,7
M2,P10,2010,1
M2,P10,2010,2
M2,P10,2010,3
M2,P10,2010,4
M2,P10,2010,5
M2,P10,2010,6
M2,P10,2010,7
M2,P10,2010,8
M2,P10,2010,9
M2,P10,2010,10
M2,P10,2010,11
M2,P10,2010,12
M2,P10,2011,1
M2,P10,2011,2
M2,P10,2011,3
M2,P10,2011,4
M2,P10,2011,5
M2,P10,2011,6
M2,P10,2011,7
M2,P11,2010,1
M2,P11,2010,2
M2,P11,2010,3
M2,P11,2010,4
M2,P11,2010,5
M2,P11,2010,6
M2,P11,2010,7
M2,P11,2010,8
M2,P11,2010,9
M2,P11,2010,10
M2,P11,2010,11
M2,P11,2010,12
M2,P11,2011,1
M2,P11,2011,2
M2,P11,2011,3
M2,P11,2011,4
M2,P11,2011,5
M2,P11,2011,6
M2,P11,2011,7
M2,P12,2010,1
M2,P12,2010,2
M2,P12,2010,3
M2,P12,2010,4
M2,P12,2010,5
M2,P12,2010,6
M2,P12,2010,7
M2,P12,2010,8
M2,P12,2010,9
M2,P12,2010,10
M2,P12,2010,11
M2,P12,2010,12
M2,P12,2011,1
M2,P12,2011,2
M2,P12,2011,3
M2,P12,2011,4
M2,P12,2011,5
M2,P12,2011,6
M2,P12,2011,7
M2,P13,2010,1
M2,P13,2010,2
M2,P13,2010,3
M2,P13,2010,4
M2,P13,2010,5
M2,P13,2010,6
M2,P13,2010,7
M2,P13,2010,8
M2,P13,2010,9
M2,P13,2010,10
M2,P13,2010,11
M2,P13,2010,12
M2,P13,2011,1
M2,P13,2011,2
M2,P13,2011,3
M2,P13,2011,4
M2,P13,2011,5
M2,P13,2011,6
M2,P13,2011,7
M2,P14,2010,1
M2,P14,2010,2
M2,P14,2010,3
M2,P14,2010,4
M2,P14,2010,5
M2,P14,2010,6
M2,P14,2010,7
M2,P14,2010,8
M2,P14,2010,9
M2,P14,2010,10
M2,P14,2010,11
M2,P14,2010,12
M2,P14,2011,1
M2,P14,2011,2
M2,P14,2011,3
M2,P14,2011,4
M2,P14,2011,5
M2,P14,2011,6
M2,P14,2011,7
M2,P15,2010,1
M2,P15,2010,2
M2,P15,2010,3
M2,P15,2010,4
M2,P15,2010,5
M2,P15,2010,6
M2,P15,2010,7
M2,P15,2010,8
M2,P15,2010,9
M2,P15,2010,10
M2,P15,2010,11
M2,P15,2010,12
M2,P15,2011,1
M2,P15,2011,2
M2,P15,2011,3
M2,P15,2011,4
M2,P15,2011,5
M2,P15,2011,6
M2,P15,2011,7
M2,P16,2010,1
M2,P16,2010,2
M2,P16,2010,3
M2,P16,2010,4
M2,P16,2010,5
M2,P16,2010,6
M2,P16,2010,7
M2,P16,2010,8
M2,P16,2010,9
M2,P16,2010,10
M2,P16,2010,11
M2,P16,2010,12
M2,P16,2011,1
M2,P16,2011,2
M2,P16,2011,3
M2,P16,2011,4
M2,P16,2011,5
M2,P16,2011,6
M2,P16,2011,7
M2,P17,2010,1
M2,P17,2010,2
M2,P17,2010,3
M2,P17,2010,4
M2,P17,2010,5
M2,P17,2010,6
M2,P17,2010,7
M2,P17,2010,8
M2,P17,2010,9
M2,P17,2010,10
M2,P17,2010,11
M2,P17,2010,12
M2,P17,2011,1
M2,P17,2011,2
M2,P17,2011,3
M2,P17,2011,4
M2,P17,2011,5
M2,P17,2011,6
M2,P17,2011,7
M2,P19,2010,1
M2,P19,2010,2
M2,P19,2010,3
M2,P19,2010,4
M2,P19,2010,5
M2,P19,2010,6
M2,P19,2010,7
M2,P19,2010,8
M2,P19,2010,9
M2,P19,2010,10
M2,P19,2010,11
M2,P19,2010,12
M2,P19,2011,1
M2,P19,2011,2
M2,P19,2011,3
M2,P19,2011,4
M2,P19,2011,5
M2,P19,2011,6
M2,P19,2011,7
M2,P20,2010,1
M2,P20,2010,2
M2,P20,2010,3
M2,P20,2010,4
M2,P20,2010,5
M2,P20,2010,6
M2,P20,2010,7
M2,P20,2010,8
M2,P20,2010,9
M2,P20,2010,10
M2,P20,2010,11
M2,P20,2010,12
M2,P20,2011,1
M2,P20,2011,2
M2,P20,2011,3
M2,P20,2011,4
M2,P20,2011,5
M2,P20,2011,6
M2,P20,2011,7
M2,P21,2010,1
M2,P21,2010,2
M2,P21,2010,3
M2,P21,2010,4
M2,P21,2010,5
M2,P21,2010,6
M2,P21,2010,7
M2,P21,2010,8
M2,P21,2010,9
M2,P21,2010,10
M2,P21,2010,11
M2,P21,2010,12
M2,P21,2011,1
M2,P21,2011,2
M2,P21,2011,3
M2,P21,2011,4
M2,P21,2011,5
M2,P21,2011,6
M2,P21,2011,7
M2,P22,2010,1
M2,P22,2010,2
M2,P22,2010,3
M2,P22,2010,4
M2,P22,2010,5
M2,P22,2010,6
M2,P22,2010,7
M2,P22,2010,8
M2,P22,2010,9
M2,P22,2010,10
M2,P22,2010,11
M2,P22,2010,12
M2,P22,2011,1
M2,P22,2011,2
M2,P22,2011,3
M2,P22,2011,4
M2,P22,2011,5
M2,P22,2011,6
M2,P22,2011,7
M2,P24,2010,1
M2,P24,2010,2
M2,P24,2010,3
M2,P24,2010,4
M2,P24,2010,5
M2,P24,2010,6
M2,P24,2010,7
M2,P24,2010,8
M2,P24,2010,9
M2,P24,2010,10
M2,P24,2010,11
M2,P24,2010,12
M2,P24,2011,1
M2,P24,2011,2
M2,P24,2011,3
M2,P24,2011,4
M2,P24,2011,5
M2,P24,2011,6
M2,P24,2011,7
M2,P25,2010,1
M2,P25,2010,2
M2,P25,2010,3
M2,P25,2010,4
M2,P25,2010,5
M2,P25,2010,6
M2,P25,2010,7
M2,P25,2010,8
M2,P25,2010,9
M2,P25,2010,10
M2,P25,2010,11
M2,P25,2010,12
M2,P25,2011,1
M2,P25,2011,2
M2,P25,2011,3
M2,P25,2011,4
M2,P25,2011,5
M2,P25,2011,6
M2,P25,2011,7
M2,P26,2010,1
M2,P26,2010,2
M2,P26,2010,3
M2,P26,2010,4
M2,P26,2010,5
M2,P26,2010,6
M2,P26,2010,7
M2,P26,2010,8
M2,P26,2010,9
M2,P26,2010,10
M2,P26,2010,11
M2,P26,2010,12
M2,P26,2011,1
M2,P26,2011,2
M2,P26,2011,3
M2,P26,2011,4
M2,P26,2011,5
M2,P26,2011,6
M2,P26,2011,7
M2,P27,2010,1
M2,P27,2010,2
M2,P27,2010,3
M2,P27,2010,4
M2,P27,2010,5
M2,P27,2010,6
M2,P27,2010,7
M2,P27,2010,8
M2,P27,2010,9
M2,P27,2010,10
M2,P27,2010,11
M2,P27,2010,12
M2,P27,2011,1
M2,P27,2011,2
M2,P27,2011,3
M2,P27,2011,4
M2,P27,2011,5
M2,P27,2011,6
M2,P27,2011,7
M2,P28,2010,1
M2,P28,2010,2
M2,P28,2010,3
M2,P28,2010,4
M2,P28,2010,5
M2,P28,2010,6
M2,P28,2010,7
M2,P28,2010,8
M2,P28,2010,9
M2,P28,2010,10
M2,P28,2010,11
M2,P28,2010,12
M2,P28,2011,1
M2,P28,2011,2
M2,P28,2011,3
M2,P28,2011,4
M2,P28,2011,5
M2,P28,2011,6
M2,P28,2011,7
M2,P29,2010,1
M2,P29,2010,2
M2,P29,2010,3
M2,P29,2010,4
M2,P29,2010,5
M2,P29,2010,6
M2,P29,2010,7
M2,P29,2010,8
M2,P29,2010,9
M2,P29,2010,10
M2,P29,2010,11
M2,P29,2010,12
M2,P29,2011,1
M2,P29,2011,2
M2,P29,2011,3
M2,P29,2011,4
M2,P29,2011,5
M2,P29,2011,6
M2,P29,2011,7
M2,P30,2010,1
M2,P30,2010,2
M2,P30,2010,3
M2,P30,2010,4
M2,P30,2010,5
M2,P30,2010,6
M2,P30,2010,7
M2,P30,2010,8
M2,P30,2010,9
M2,P30,2010,10
M2,P30,2010,11
M2,P30,2010,12
M2,P30,2011,1
M2,P30,2011,2
M2,P30,2011,3
M2,P30,2011,4
M2,P30,2011,5
M2,P30,2011,6
M2,P30,2011,7
M2,P31,2010,1
M2,P31,2010,2
M2,P31,2010,3
M2,P31,2010,4
M2,P31,2010,5
M2,P31,2010,6
M2,P31,2010,7
M2,P31,2010,8
M2,P31,2010,9
M2,P31,2010,10
M2,P31,2010,11
M2,P31,2010,12
M2,P31,2011,1
M2,P31,2011,2
M2,P31,2011,3
M2,P31,2011,4
M2,P31,2011,5
M2,P31,2011,6
M2,P31,2011,7
M3,P01,2010,1
M3,P01,2010,2
M3,P01,2010,3
M3,P01,2010,4
M3,P01,2010,5
M3,P01,2010,6
M3,P01,2010,7
M3,P01,2010,8
M3,P01,2010,9
M3,P01,2010,10
M3,P01,2010,11
M3,P01,2010,12
M3,P01,2011,1
M3,P01,2011,2
M3,P01,2011,3
M3,P01,2011,4
M3,P01,2011,5
M3,P01,2011,6
M3,P01,2011,7
M3,P02,2010,1
M3,P02,2010,2
M3,P02,2010,3
M3,P02,2010,4
M3,P02,2010,5
M3,P02,2010,6
M3,P02,2010,7
M3,P02,2010,8
M3,P02,2010,9
M3,P02,2010,10
M3,P02,2010,11
M3,P02,2010,12
M3,P02,2011,1
M3,P02,2011,2
M3,P02,2011,3
M3,P02,2011,4
M3,P02,2011,5
M3,P02,2011,6
M3,P02,2011,7
M3,P03,2010,1
M3,P03,2010,2
M3,P03,2010,3
M3,P03,2010,4
M3,P03,2010,5
M3,P03,2010,6
M3,P03,2010,7
M3,P03,2010,8
M3,P03,2010,9
M3,P03,2010,10
M3,P03,2010,11
M3,P03,2010,12
M3,P03,2011,1
M3,P03,2011,2
M3,P03,2011,3
M3,P03,2011,4
M3,P03,2011,5
M3,P03,2011,6
M3,P03,2011,7
M3,P04,2010,1
M3,P04,2010,2
M3,P04,2010,3
M3,P04,2010,4
M3,P04,2010,5
M3,P04,2010,6
M3,P04,2010,7
M3,P04,2010,8
M3,P04,2010,9
M3,P04,2010,10
M3,P04,2010,11
M3,P04,2010,12
M3,P04,2011,1
M3,P04,2011,2
M3,P04,2011,3
M3,P04,2011,4
M3,P04,2011,5
M3,P04,2011,6
M3,P04,2011,7
M3,P05,2010,1
M3,P05,2010,2
M3,P05,2010,3
M3,P05,2010,4
M3,P05,2010,5
M3,P05,2010,6
M3,P05,2010,7
M3,P05,2010,8
M3,P05,2010,9
M3,P05,2010,10
M3,P05,2010,11
M3,P05,2010,12
M3,P05,2011,1
M3,P05,2011,2
M3,P05,2011,3
M3,P05,2011,4
M3,P05,2011,5
M3,P05,2011,6
M3,P05,2011,7
M3,P06,2010,1
M3,P06,2010,2
M3,P06,2010,3
M3,P06,2010,4
M3,P06,2010,5
M3,P06,2010,6
M3,P06,2010,7
M3,P06,2010,8
M3,P06,2010,9
M3,P06,2010,10
M3,P06,2010,11
M3,P06,2010,12
M3,P06,2011,1
M3,P06,2011,2
M3,P06,2011,3
M3,P06,2011,4
M3,P06,2011,5
M3,P06,2011,6
M3,P06,2011,7
M3,P09,2010,1
M3,P09,2010,2
M3,P09,2010,3
M3,P09,2010,4
M3,P09,2010,5
M3,P09,2010,6
M3,P09,2010,7
M3,P09,2010,8
M3,P09,2010,9
M3,P09,2010,10
M3,P09,2010,11
M3,P09,2010,12
M3,P09,2011,1
M3,P09,2011,2
M3,P09,2011,3
M3,P09,2011,4
M3,P09,2011,5
M3,P09,2011,6
M3,P09,2011,7
M3,P10,2010,1
M3,P10,2010,2
M3,P10,2010,3
M3,P10,2010,4
M3,P10,2010,5
M3,P10,2010,6
M3,P10,2010,7
M3,P10,2010,8
M3,P10,2010,9
M3,P10,2010,10
M3,P10,2010,11
M3,P10,2010,12
M3,P10,2011,1
M3,P10,2011,2
M3,P10,2011,3
M3,P10,2011,4
M3,P10,2011,5
M3,P10,2011,6
M3,P10,2011,7
M3,P11,2010,1
M3,P11,2010,2
M3,P11,2010,3
M3,P11,2010,4
M3,P11,2010,5
M3,P11,2010,6
M3,P11,2010,7
M3,P11,2010,8
M3,P11,2010,9
M3,P11,2010,10
M3,P11,2010,11
M3,P11,2010,12
M3,P11,2011,1
M3,P11,2011,2
M3,P11,2011,3
M3,P11,2011,4
M3,P11,2011,5
M3,P11,2011,6
M3,P11,2011,7
M3,P12,2010,1
M3,P12,2010,2
M3,P12,2010,3
M3,P12,2010,4
M3,P12,2010,5
M3,P12,2010,6
M3,P12,2010,7
M3,P12,2010,8
M3,P12,2010,9
M3,P12,2010,10
M3,P12,2010,11
M3,P12,2010,12
M3,P12,2011,1
M3,P12,2011,2
M3,P12,2011,3
M3,P12,2011,4
M3,P12,2011,5
M3,P12,2011,6
M3,P12,2011,7
M3,P13,2010,1
M3,P13,2010,2
M3,P13,2010,3
M3,P13,2010,4
M3,P13,2010,5
M3,P13,2010,6
M3,P13,2010,7
M3,P13,2010,8
M3,P13,2010,9
M3,P13,2010,10
M3,P13,2010,11
M3,P13,2010,12
M3,P13,2011,1
M3,P13,2011,2
M3,P13,2011,3
M3,P13,2011,4
M3,P13,2011,5
M3,P13,2011,6
M3,P13,2011,7
M3,P15,2010,1
M3,P15,2010,2
M3,P15,2010,3
M3,P15,2010,4
M3,P15,2010,5
M3,P15,2010,6
M3,P15,2010,7
M3,P15,2010,8
M3,P15,2010,9
M3,P15,2010,10
M3,P15,2010,11
M3,P15,2010,12
M3,P15,2011,1
M3,P15,2011,2
M3,P15,2011,3
M3,P15,2011,4
M3,P15,2011,5
M3,P15,2011,6
M3,P15,2011,7
M3,P16,2010,1
M3,P16,2010,2
M3,P16,2010,3
M3,P16,2010,4
M3,P16,2010,5
M3,P16,2010,6
M3,P16,2010,7
M3,P16,2010,8
M3,P16,2010,9
M3,P16,2010,10
M3,P16,2010,11
M3,P16,2010,12
M3,P16,2011,1
M3,P16,2011,2
M3,P16,2011,3
M3,P16,2011,4
M3,P16,2011,5
M3,P16,2011,6
M3,P16,2011,7
M3,P17,2010,1
M3,P17,2010,2
M3,P17,2010,3
M3,P17,2010,4
M3,P17,2010,5
M3,P17,2010,6
M3,P17,2010,7
M3,P17,2010,8
M3,P17,2010,9
M3,P17,2010,10
M3,P17,2010,11
M3,P17,2010,12
M3,P17,2011,1
M3,P17,2011,2
M3,P17,2011,3
M3,P17,2011,4
M3,P17,2011,5
M3,P17,2011,6
M3,P17,2011,7
M3,P18,2010,1
M3,P18,2010,2
M3,P18,2010,3
M3,P18,2010,4
M3,P18,2010,5
M3,P18,2010,6
M3,P18,2010,7
M3,P18,2010,8
M3,P18,2010,9
M3,P18,2010,10
M3,P18,2010,11
M3,P18,2010,12
M3,P18,2011,1
M3,P18,2011,2
M3,P18,2011,3
M3,P18,2011,4
M3,P18,2011,5
M3,P18,2011,6
M3,P18,2011,7
M3,P19,2010,1
M3,P19,2010,2
M3,P19,2010,3
M3,P19,2010,4
M3,P19,2010,5
M3,P19,2010,6
M3,P19,2010,7
M3,P19,2010,8
M3,P19,2010,9
M3,P19,2010,10
M3,P19,2010,11
M3,P19,2010,12
M3,P19,2011,1
M3,P19,2011,2
M3,P19,2011,3
M3,P19,2011,4
