module_category,component_category,year/month,number_sale
M1,P13,2006/7,17
M3,P13,2006/12,76
M3,P13,2007/2,51
M3,P13,2007/8,0
M2,P08,2007/2,0
M2,P08,2007/8,0
M4,P08,2005/2,0
M4,P08,2005/4,1469
M4,P08,2005/5,454
M0,P08,2006/10,168
M0,P08,2006/10,2613
M8,P08,2005/11,8090
M8,P08,2006/3,840
M8,P08,2006/6,807
M4,P08,2006/1,323
M4,P08,2006/3,4032
M5,P08,2006/3,0
M5,P08,2006/11,0
M5,P08,2006/12,0
M7,P08,2005/9,0
M7,P08,2006/4,2230
M7,P08,2006/10,0
M7,P08,2006/11,-1
M7,P08,2007/2,0
M1,P08,2006/10,756
M9,P08,2005/9,0
M9,P08,2005/12,420
M9,P08,2006/7,51
M3,P08,2006/10,11
M3,P08,2007/1,0
M3,P08,2007/7,0
M3,P08,2007/9,336
M2,P26,2007/10,0
M4,P26,2005/3,0
M4,P26,2005/5,0
M4,P26,2005/7,0
M0,P26,2006/2,0
M0,P26,2006/5,0
M0,P26,2006/8,0
M0,P26,2007/1,-5
M8,P26,2005/11,1677
M8,P26,2005/11,3881
M8,P26,2005/11,0
M8,P26,2005/12,7893
M8,P26,2006/4,0
M8,P26,2006/7,437
M8,P26,2006/8,504
M4,P26,2006/1,0
M4,P26,2006/5,0
M5,P26,2005/9,0
M5,P26,2005/10,0
M5,P26,2005/11,0
M5,P26,2006/1,0
M5,P26,2007/3,0
M1,P26,2006/2,0
M1,P26,2006/6,0
M9,P26,2005/11,1008
M3,P26,2006/10,91
M2,P18,2007/5,1541
M2,P18,2007/12,0
M2,P18,2007/12,0
M4,P18,2005/1,0
M4,P18,2005/2,1025
M4,P18,2005/5,1815
M4,P18,2005/9,68
M0,P18,2006/4,0
M0,P18,2006/7,68
M8,P18,2006/7,68
M8,P18,2006/8,0
M8,P18,2006/10,0
M4,P18,2005/11,-5
M5,P18,2005/9,0
M5,P18,2005/12,588
M5,P18,2006/1,840
M5,P18,2006/12,0
M7,P18,2006/1,68
M7,P18,2006/7,0
M1,P18,2006/5,0
M1,P18,2006/12,0
M3,P18,2007/3,182
M3,P18,2007/7,0
M6,P18,2007/6,0
M2,P01,2007/11,0
M2,P01,2007/12,0
M4,P01,2005/4,0
M4,P01,2005/5,3488
M4,P01,2005/10,0
M0,P01,2006/2,0
M0,P01,2006/3,0
M0,P01,2006/9,41816
M0,P01,2006/12,103
M0,P01,2007/2,0
M0,P01,2007/3,0
M8,P01,2005/10,0
M4,P01,2005/12,0
M5,P01,2005/12,666
M5,P01,2005/12,0
M5,P01,2006/5,84
M5,P01,2007/3,0
M7,P01,2006/9,0
M7,P01,2007/3,0
M1,P01,2006/9,471
M9,P01,2005/11,0
M9,P01,2005/12,0
M2,P14,2007/12,0
M4,P14,2005/2,0
M4,P14,2005/4,336
M4,P14,2005/10,7490
M0,P14,2006/5,26
M0,P14,2006/8,840
M8,P14,2005/12,168
M8,P14,2006/3,49
M8,P14,2006/5,0
M8,P14,2006/5,0
M8,P14,2006/6,4810
M8,P14,2006/8,0
M8,P14,2006/9,0
M8,P14,2006/11,0
M8,P14,2006/11,0
M4,P14,2006/2,0
M5,P14,2006/3,252
M5,P14,2006/3,504
M5,P14,2006/3,0
M5,P14,2006/12,0
M5,P14,2007/2,0
M7,P14,2005/10,12258
M7,P14,2006/1,68
M7,P14,2006/7,20080
M1,P14,2006/11,0
M1,P14,2006/12,0
M3,P14,2006/11,5341
M3,P14,2007/7,-1
M6,P14,2007/7,0
M4,P12,2005/4,0
M4,P12,2005/8,926
M0,P12,2006/3,0
M0,P12,2006/4,0
M0,P12,2006/4,1289
M0,P12,2006/6,338
M0,P12,2006/7,0
M0,P12,2006/9,1008
M0,P12,2007/3,0
M0,P12,2007/3,0
M8,P12,2005/12,0
M8,P12,2006/4,0
M8,P12,2006/4,11
M4,P12,2006/2,689
M4,P12,2006/3,0
M4,P12,2006/5,0
M5,P12,2006/10,0
M5,P12,2006/11,0
M5,P12,2006/12,0
M5,P12,2007/2,0
M7,P12,2005/10,0
M7,P12,2006/2,21504
M7,P12,2006/3,11
M7,P12,2006/8,2048
M7,P12,2007/3,-5
M1,P12,2007/2,0
M9,P12,2005/7,0
M9,P12,2006/3,182
M9,P12,2006/5,152
M9,P12,2006/10,0
M9,P12,2006/11,0
M3,P12,2006/10,8955
M3,P12,2007/4,394
M3,P12,2007/5,0
M3,P12,2007/7,0
M3,P12,2007/9,0
M6,P12,2007/11,168
M4,P05,2005/5,0
M0,P05,2006/3,0
M0,P05,2006/9,462
M8,P05,2006/9,488
M4,P05,2005/11,672
M4,P05,2005/12,0
M5,P05,2006/2,504
M5,P05,2006/5,0
M5,P05,2006/6,41
M5,P05,2006/10,0
M5,P05,2006/12,0
M5,P05,2007/1,0
M7,P05,2006/11,0
M7,P05,2006/12,0
M7,P05,2007/1,0
M1,P05,2006/8,9734
M9,P05,2005/9,368
M3,P05,2007/2,0
M3,P05,2007/7,0
M2,P28,2007/6,135
M2,P28,2007/7,0
M4,P28,2005/3,0
M0,P28,2006/5,0
M0,P28,2006/6,294
M0,P28,2006/8,0
M0,P28,2006/10,-16
M0,P28,2006/10,0
M0,P28,2006/10,168
M8,P28,2005/10,1200
M8,P28,2006/4,252
M8,P28,2006/5,2769
M8,P28,2006/10,0
M8,P28,2006/10,200
M8,P28,2006/10,0
M4,P28,2005/12,0
M4,P28,2006/3,0
M5,P28,2005/9,0
M5,P28,2005/12,68
M5,P28,2006/7,2016
M7,P28,2006/3,168
M9,P28,2005/10,0
M9,P28,2005/12,0
M9,P28,2006/2,5392
M9,P28,2006/6,0
M3,P28,2007/2,0
M3,P28,2007/4,168
M3,P28,2007/4,5350
M3,P28,2007/7,0
M2,P24,2007/8,0
M4,P24,2005/3,471
M4,P24,2005/10,578
M0,P24,2007/1,0
M0,P24,2007/4,11
M8,P24,2005/10,558
M8,P24,2006/2,0
M5,P24,2005/9,0
M5,P24,2006/2,2583
M5,P24,2006/4,0
M5,P24,2006/7,605
M5,P24,2006/7,588
M5,P24,2007/2,0
M7,P24,2005/11,0
M7,P24,2007/3,0
M1,P24,2007/1,0
M9,P24,2005/9,0
M9,P24,2005/12,168
M9,P24,2006/2,0
M9,P24,2006/6,0
M9,P24,2006/9,0
M9,P24,2006/10,0
M9,P24,2006/11,0
M3,P24,2007/2,874
M3,P24,2007/9,0
M6,P24,2007/8,0
M6,P24,2007/8,21
M2,P02,2007/4,11
M2,P02,2008/1,0
M4,P02,2005/1,0
M4,P02,2005/3,0
M0,P02,2006/2,0
M0,P02,2006/5,1306
M0,P02,2006/7,-3
M0,P02,2006/8,11
M0,P02,2006/10,-70
M0,P02,2007/1,-23
M8,P02,2005/12,81
M8,P02,2006/5,252
M8,P02,2006/8,783
M8,P02,2006/9,244
M5,P02,2006/8,0
M5,P02,2006/9,0
M7,P02,2006/3,5662
M7,P02,2006/4,71
M7,P02,2006/4,0
M7,P02,2006/6,0
M7,P02,2006/8,2067
M7,P02,2007/2,0
M7,P02,2007/3,0
M1,P02,2006/6,756
M1,P02,2007/1,0
M9,P02,2005/9,0
M9,P02,2006/4,11
M9,P02,2006/11,0
M3,P02,2007/3,0
M3,P02,2007/9,0
M2,P19,2007/7,0
M4,P19,2005/6,0
M4,P19,2005/9,1843
M0,P19,2006/6,0
M0,P19,2006/7,5239
M0,P19,2006/8,504
M8,P19,2006/2,0
M8,P19,2006/11,0
M4,P19,2006/1,824
M4,P19,2006/2,6719
M5,P19,2005/10,3038
M5,P19,2005/11,0
M5,P19,2006/2,0
M5,P19,2006/2,0
M5,P19,2006/3,252
M5,P19,2006/9,0
M5,P19,2006/10,0
M7,P19,2005/11,0
M7,P19,2006/1,0
M7,P19,2006/7,0
M7,P19,2006/9,0
M1,P19,2006/9,0
M9,P19,2006/1,0
M3,P19,2007/7,0
M3,P19,2007/8,0
M3,P19,2007/9,-1
M2,P20,2007/11,0
M4,P20,2005/9,1333
M0,P20,2006/5,0
M0,P20,2006/6,338
M0,P20,2006/6,6393
M0,P20,2006/7,303
M8,P20,2005/10,0
M8,P20,2006/3,252
M8,P20,2006/6,588
M8,P20,2006/8,1386
M5,P20,2006/3,0
M5,P20,2006/7,0
M5,P20,2006/10,-3
M5,P20,2006/10,-1
M5,P20,2007/1,0
M7,P20,2005/9,0
M7,P20,2005/10,0
M7,P20,2006/3,0
M7,P20,2007/2,0
M1,P20,2006/4,0
M1,P20,2006/9,0
M9,P20,2005/7,0
M9,P20,2005/12,0
M9,P20,2006/1,51
M9,P20,2006/4,0
M9,P20,2006/4,588
M3,P20,2006/11,0
M3,P20,2007/1,3024
M2,P04,2007/8,0
M2,P04,2007/9,0
M2,P04,2007/11,0
M2,P04,2008/1,0
M4,P04,2005/1,0
M4,P04,2005/2,0
M4,P04,2005/10,664
M4,P04,2005/10,0
M0,P04,2006/4,353
M0,P04,2006/4,1289
M0,P04,2006/5,0
M0,P04,2006/6,6393
M0,P04,2006/7,474
M0,P04,2006/8,504
M0,P04,2006/10,320
M0,P04,2007/3,0
M8,P04,2005/9,0
M8,P04,2005/10,0
M8,P04,2005/10,0
M8,P04,2005/12,0
M8,P04,2006/1,0
M8,P04,2006/8,0
M8,P04,2006/9,0
M4,P04,2006/1,0
M4,P04,2006/5,0
M5,P04,2006/4,202
M5,P04,2007/3,0
M7,P04,2005/12,7317
M7,P04,2006/1,0
M7,P04,2006/6,0
M7,P04,2006/11,0
M1,P04,2006/6,0
M1,P04,2006/12,755
M1,P04,2006/12,0
M9,P04,2005/7,0
M9,P04,2006/8,0
M9,P04,2006/10,0
M9,P04,2006/11,27
M3,P04,2006/11,0
M3,P04,2006/11,0
M3,P04,2007/1,0
M3,P04,2007/3,0
M3,P04,2007/6,0
M6,P04,2007/12,0
M2,P07,2007/9,1361
M4,P07,2005/8,84
M0,P07,2006/2,0
M0,P07,2006/2,0
M0,P07,2006/3,0
M0,P07,2006/4,555
M0,P07,2006/6,1176
M0,P07,2006/8,0
M0,P07,2007/2,0
M0,P07,2007/4,0
M8,P07,2005/10,0
M8,P07,2006/3,0
M8,P07,2006/4,0
M8,P07,2006/11,0
M4,P07,2006/4,0
M5,P07,2006/2,0
M5,P07,2006/3,7258
M5,P07,2006/5,0
M5,P07,2006/10,0
M5,P07,2006/10,0
M5,P07,2006/12,0
M5,P07,2007/2,0
M5,P07,2007/3,0
M7,P07,2006/11,0
M7,P07,2007/3,0
M9,P07,2005/9,0
M9,P07,2006/9,0
M3,P07,2007/3,504
M3,P07,2007/3,0
M3,P07,2007/5,0
M3,P07,2007/5,0
M2,P22,2008/1,0
M4,P22,2005/3,0
M0,P22,2006/12,103
M0,P22,2007/2,0
M8,P22,2005/9,0
M8,P22,2005/12,68
M8,P22,2005/12,138
M8,P22,2006/2,0
M8,P22,2006/4,126
M8,P22,2006/7,0
M4,P22,2006/1,0
M4,P22,2006/1,0
M4,P22,2006/5,0
M5,P22,2005/11,4995
M5,P22,2006/4,6804
M5,P22,2006/9,0
M5,P22,2007/2,0
M5,P22,2007/3,0
M7,P22,2006/12,336
M7,P22,2006/12,0
M1,P22,2006/9,6788
M1,P22,2007/2,3360
M9,P22,2006/2,0
M9,P22,2006/5,152
M9,P22,2006/11,84
M4,P15,2005/7,155
M4,P15,2005/7,303
M0,P15,2006/7,0
M0,P15,2006/9,504
M0,P15,2007/2,-52
M8,P15,2005/9,0
M8,P15,2005/11,0
M8,P15,2006/4,2386
M8,P15,2006/10,0
M4,P15,2005/11,0
M4,P15,2006/2,0
M4,P15,2006/3,31
M5,P15,2006/6,0
M7,P15,2006/11,0
M1,P15,2006/8,2655
M1,P15,2006/10,0
M1,P15,2006/12,0
M9,P15,2006/8,0
M3,P15,2006/11,1183
M3,P15,2007/8,0
M6,P15,2007/6,0
M6,P15,2007/11,34
M2,P17,2007/7,2084
M2,P17,2007/12,0
M4,P17,2005/1,168
M4,P17,2005/2,1025
M4,P17,2005/3,605
M4,P17,2005/4,0
M4,P17,2005/5,1042
M0,P17,2006/9,504
M0,P17,2007/3,79
M8,P17,2005/9,0
M8,P17,2005/10,0
M8,P17,2005/10,0
M8,P17,2005/11,1170
M8,P17,2006/3,185
M8,P17,2006/12,0
M5,P17,2005/10,0
M5,P17,2006/2,7812
M5,P17,2006/6,0
M7,P17,2005/9,0
M7,P17,2006/4,249
M7,P17,2006/6,0
M1,P17,2006/3,0
M1,P17,2006/12,0
M9,P17,2006/4,372
M9,P17,2006/10,-8
M3,P17,2006/12,1227
M3,P17,2007/2,51
M3,P17,2007/2,0
M3,P17,2007/6,0
M2,P30,2007/6,0
M2,P30,2007/8,34
M4,P30,2005/2,0
M4,P30,2005/5,0
M4,P30,2005/6,2184
M4,P30,2005/7,84
M4,P30,2005/9,0
M4,P30,2005/9,-1
M0,P30,2006/2,0
M0,P30,2006/7,0
M8,P30,2006/5,585
M8,P30,2006/7,3965
M8,P30,2006/9,0
M8,P30,2006/12,0
M4,P30,2006/3,0
M4,P30,2006/4,0
M5,P30,2006/8,0
M5,P30,2006/11,0
M7,P30,2005/10,266
M7,P30,2005/12,0
M7,P30,2006/1,840
M7,P30,2006/1,0
M7,P30,2006/9,0
M1,P30,2006/3,0
M1,P30,2006/5,0
M1,P30,2006/8,0
M1,P30,2006/10,9450
M1,P30,2006/10,0
M3,P30,2007/9,0
M2,P03,2007/7,0
M2,P03,2007/8,11
M4,P03,2005/4,202
M4,P03,2005/6,671
M4,P03,2005/7,840
M4,P03,2005/10,3001
M8,P03,2005/12,840
M8,P03,2005/12,0
M8,P03,2006/1,1109
M8,P03,2006/2,0
M8,P03,2006/5,0
M8,P03,2006/6,278
M8,P03,2006/6,4810
M8,P03,2006/8,0
M8,P03,2006/10,0
M4,P03,2006/1,0
M5,P03,2005/12,185
M5,P03,2006/2,504
M5,P03,2006/3,0
M5,P03,2006/4,0
M5,P03,2006/5,0
M5,P03,2006/5,68
M5,P03,2006/12,-1
M5,P03,2007/1,0
M7,P03,2005/10,0
M7,P03,2006/2,78
M7,P03,2006/12,0
M7,P03,2007/2,0
M1,P03,2006/3,0
M3,P03,2006/10,336
M3,P03,2007/2,168
M3,P03,2007/3,0
M3,P03,2007/5,0
M3,P03,2007/7,0
M2,P11,2007/5,84
M2,P11,2007/7,420
M4,P11,2005/3,0
M4,P11,2005/7,1832
M0,P11,2006/3,0
M0,P11,2006/10,0
M0,P11,2007/2,-119
M8,P11,2005/9,0
M8,P11,2006/1,84
M8,P11,2006/1,0
M8,P11,2006/4,51
M8,P11,2006/4,1059
M8,P11,2006/4,11
M8,P11,2006/7,723
M5,P11,2005/9,0
M5,P11,2007/1,0
M5,P11,2007/2,0
M7,P11,2005/9,0
M7,P11,2006/4,0
M7,P11,2006/4,0
M1,P11,2006/2,0
M1,P11,2006/3,0
M1,P11,2006/3,0
M3,P11,2006/11,11592
M3,P11,2007/4,0
M6,P11,2007/6,0
M2,P16,2007/7,0
M2,P16,2007/9,0
M4,P16,2005/6,504
M4,P16,2005/8,0
M4,P16,2005/8,807
M4,P16,2005/9,34
M0,P16,2006/6,0
M0,P16,2006/10,0
M8,P16,2005/10,706
M8,P16,2005/12,840
M8,P16,2006/2,0
M8,P16,2006/10,0
M4,P16,2006/2,0
M4,P16,2006/3,0
M5,P16,2005/11,0
M5,P16,2006/8,0
M5,P16,2006/8,0
M5,P16,2006/11,-3
M5,P16,2007/3,0
M7,P16,2005/12,0
M7,P16,2006/3,7873
M7,P16,2006/4,182
M9,P16,2005/9,0
M9,P16,2005/9,108
M9,P16,2006/7,0
M3,P16,2007/5,0
M6,P16,2007/8,60015
M2,P27,2007/8,34
M2,P27,2007/9,0
M4,P27,2005/3,0
M4,P27,2005/5,1153
M4,P27,2005/8,4550
M0,P27,2006/3,0
M0,P27,2007/2,0
M0,P27,2007/4,0
M8,P27,2006/6,0
M4,P27,2005/12,0
M5,P27,2005/12,0
M5,P27,2006/8,0
M5,P27,2007/1,0
M5,P27,2007/2,0
M7,P27,2006/2,0
M7,P27,2006/6,0
M7,P27,2006/6,5580
M7,P27,2006/8,0
M7,P27,2006/11,0
M1,P27,2006/3,336
M1,P27,2006/6,1724
M1,P27,2006/8,4872
M1,P27,2006/12,0
M9,P27,2005/8,0
M9,P27,2006/11,0
M3,P27,2006/12,152
M3,P27,2007/4,0
M3,P27,2007/5,0
M2,P21,2007/4,0
M2,P21,2007/9,0
M4,P21,2005/5,0
M4,P21,2005/5,0
M4,P21,2005/6,0
M4,P21,2005/7,0
M4,P21,2005/9,0
M0,P21,2006/2,0
M0,P21,2006/4,0
M0,P21,2006/8,3846
M0,P21,2006/8,17
M8,P21,2005/12,0
M8,P21,2006/1,0
M8,P21,2006/7,462
M8,P21,2006/11,0
M8,P21,2006/11,0
M8,P21,2006/12,0
M4,P21,2005/11,0
M5,P21,2005/12,432
M5,P21,2006/9,0
M7,P21,2006/4,0
M7,P21,2007/1,0
M7,P21,2007/2,0
M1,P21,2006/2,0
M1,P21,2006/4,0
M1,P21,2007/2,0
M3,P21,2006/11,874
M3,P21,2007/3,3112
M6,P21,2007/9,362
M2,P06,2007/2,0
M4,P06,2005/3,0
M4,P06,2005/3,605
M4,P06,2005/5,0
M4,P06,2005/6,1356
M4,P06,2005/8,336
M0,P06,2006/3,0
M0,P06,2006/4,0
M0,P06,2006/4,0
M8,P06,2005/11,0
M8,P06,2006/1,5494
M8,P06,2006/2,74
M8,P06,2006/3,252
M8,P06,2006/5,6967
M8,P06,2006/5,232
M8,P06,2006/8,0
M8,P06,2006/11,0
M8,P06,2006/11,0
M4,P06,2006/1,0
M4,P06,2006/5,-13
M5,P06,2005/11,10166
M5,P06,2006/4,232
M5,P06,2006/10,0
M5,P06,2006/12,0
M7,P06,2006/3,0
M1,P06,2006/4,0
M9,P06,2005/11,9711
M9,P06,2005/12,0
M9,P06,2006/3,84
M9,P06,2006/6,0
M9,P06,2006/6,0
M3,P06,2006/10,21
M3,P06,2006/11,504
M3,P06,2007/1,11740
M3,P06,2007/3,0
M3,P06,2007/4,1563
M3,P06,2007/6,0
M3,P06,2007/8,0
M3,P06,2007/8,0
M2,P23,2007/3,33387
M2,P23,2007/9,91712
M0,P23,2006/3,0
M0,P23,2006/7,5239
M0,P23,2006/8,0
M0,P23,2006/9,17
M0,P23,2006/10,6531
M0,P23,2006/10,0
M8,P23,2006/6,101
M8,P23,2006/9,1313
M4,P23,2006/4,0
M4,P23,2006/4,0
M5,P23,2005/9,0
M5,P23,2005/9,0
M5,P23,2006/9,0
M5,P23,2006/10,0
M7,P23,2005/10,0
M7,P23,2006/4,21
M7,P23,2006/4,182
M7,P23,2006/4,73
M7,P23,2006/7,672
M7,P23,2006/7,26
M7,P23,2007/2,0
M7,P23,2007/2,0
M1,P23,2006/5,0
M1,P23,2006/9,0
M1,P23,2006/11,2865
M9,P23,2006/4,605
M3,P23,2007/2,150
M3,P23,2007/4,-3
M3,P23,2007/5,0
M3,P23,2007/6,0
M3,P23,2007/8,0
M6,P23,2007/10,0
M4,P31,2005/1,1983
M0,P31,2006/8,840
M0,P31,2007/1,2594
M0,P31,2007/3,0
M8,P31,2005/9,0
M8,P31,2005/10,0
M8,P31,2006/7,0
M8,P31,2006/11,0
M5,P31,2006/8,0
M5,P31,2007/3,0
M7,P31,2005/9,0
M7,P31,2005/10,0
M7,P31,2006/1,840
M7,P31,2006/3,0
M7,P31,2006/3,0
M7,P31,2006/6,269
M7,P31,2006/11,0
M1,P31,2006/5,0
M1,P31,2006/5,101
M1,P31,2006/6,0
M9,P31,2005/10,0
M9,P31,2005/10,1176
M9,P31,2005/12,0
M9,P31,2006/2,0
M9,P31,2006/7,0
M3,P31,2007/1,168
M3,P31,2007/2,0
M6,P31,2008/2,0
M2,P09,2007/11,0
M2,P09,2008/1,0
M4,P09,2005/7,840
M4,P09,2005/8,246
M0,P09,2006/4,2720
M0,P09,2007/2,7488
M8,P09,2006/8,0
M8,P09,2006/12,0
M4,P09,2005/11,0
M5,P09,2005/11,3065
M5,P09,2006/4,0
M5,P09,2006/11,216
M7,P09,2005/9,0
M7,P09,2005/11,0
M7,P09,2006/12,0
M1,P09,2006/11,-1
M9,P09,2005/11,0
M9,P09,2006/1,0
M9,P09,2006/9,0
M9,P09,2006/10,0
M3,P09,2006/12,121
M3,P09,2007/1,622
M3,P09,2007/7,298
M3,P09,2007/8,0
M6,P09,2007/6,0
M6,P09,2008/1,1099
M2,P10,2007/8,0
M4,P10,2005/7,0
M0,P10,2006/10,0
M0,P10,2006/11,74
M0,P10,2007/3,0
M8,P10,2005/11,0
M8,P10,2006/6,46
M8,P10,2006/10,0
M4,P10,2006/4,0
M5,P10,2005/9,5729
M5,P10,2006/10,0
M7,P10,2005/9,0
M7,P10,2005/10,0
M7,P10,2005/10,0
M7,P10,2005/11,0
M1,P10,2006/4,0
M1,P10,2006/11,1025
M9,P10,2006/2,0
M9,P10,2006/9,4755
M3,P10,2007/3,0
M2,P29,2007/4,0
M0,P29,2006/9,11690
M0,P29,2006/10,0
M0,P29,2006/11,0
M8,P29,2005/12,0
M8,P29,2006/3,0
M8,P29,2006/4,491
M8,P29,2006/8,0
M8,P29,2006/9,807
M4,P29,2005/11,0
M4,P29,2005/12,21
M4,P29,2006/1,0
M5,P29,2006/1,0
M5,P29,2006/8,0
M7,P29,2005/12,0
M7,P29,2006/6,41
M7,P29,2006/8,2048
M7,P29,2007/2,0
M7,P29,2007/3,0
M1,P29,2006/3,0
M1,P29,2006/9,1008
M1,P29,2006/11,0
M9,P29,2005/8,0
M9,P29,2005/10,0
M9,P29,2005/10,0
M2,P25,2007/10,1195
M4,P25,2005/3,0
M4,P25,2005/5,2284
M4,P25,2005/6,649
M0,P25,2006/8,504
M8,P25,2006/1,0
M8,P25,2006/2,0
M8,P25,2006/5,0
M8,P25,2006/10,0
M4,P25,2006/1,7
M4,P25,2006/3,0
M5,P25,2005/9,0
M5,P25,2006/11,0
M5,P25,2007/1,0
M5,P25,2007/1,0
M7,P25,2005/10,0
M7,P25,2006/1,101
M7,P25,2006/9,0
M7,P25,2006/12,0
M1,P25,2006/7,152
M9,P25,2005/8,0
